Date,Open PRs,Open Issues, Open Issues Mean Created Date, Open Issues Median Created Date, Open PRs Mean Date, Open PRs Median Date
2023-Apr-04 23:38:49,1,21,,,,
2023-Apr-05 02:00:44,1,21,,,,
2023-Apr-06 02:11:53,1,22,,,,
2023-Apr-07 02:09:46,1,22,,,,
2023-Apr-08 02:06:33,1,22,,,,
2023-Apr-09 02:10:31,1,22,2022-07-20 19:01:53.363636,2022-08-05 17:21:21,2023-02-28 17:38:07,2023-02-28 17:38:07
2023-Apr-10 02:07:08,1,22,2022-07-20 19:01:53.363636,2022-08-05 17:21:21,2023-02-28 17:38:07,2023-02-28 17:38:07
2023-Apr-11 02:09:22,1,22,2022-07-20 19:01:53.363636,2022-08-05 17:21:21,2023-02-28 17:38:07,2023-02-28 17:38:07
2023-Apr-12 02:10:05,1,22,2022-07-20 19:01:53.363636,2022-08-05 17:21:21,2023-02-28 17:38:07,2023-02-28 17:38:07
2023-Apr-13 13:05:37,1,22,2022-07-20 19:01:53.363636,2022-08-05 17:21:21,2023-02-28 17:38:07,2023-02-28 17:38:07
2023-Apr-14 04:26:59,1,22,2022-07-20 19:01:53.363636,2022-08-05 17:21:21,2023-02-28 17:38:07,2023-02-28 17:38:07
2023-Apr-15 04:26:51,1,22,2022-07-20 19:01:53.363636,2022-08-05 17:21:21,2023-02-28 17:38:07,2023-02-28 17:38:07
2023-Apr-16 04:26:35,1,22,2022-07-20 19:01:53.363636,2022-08-05 17:21:21,2023-02-28 17:38:07,2023-02-28 17:38:07
2023-Apr-17 04:27:45,1,22,2022-07-20 19:01:53.363636,2022-08-05 17:21:21,2023-02-28 17:38:07,2023-02-28 17:38:07
2023-Apr-18 04:27:07,1,22,2022-07-20 19:01:53.363636,2022-08-05 17:21:21,2023-02-28 17:38:07,2023-02-28 17:38:07
2023-Apr-19 04:27:48,1,22,2022-07-20 19:01:53.363636,2022-08-05 17:21:21,2023-02-28 17:38:07,2023-02-28 17:38:07
2023-Apr-20 04:27:35,1,22,2022-07-20 19:01:53.363636,2022-08-05 17:21:21,2023-02-28 17:38:07,2023-02-28 17:38:07
2023-Apr-21 04:27:23,1,22,2022-07-20 19:01:53.363636,2022-08-05 17:21:21,2023-02-28 17:38:07,2023-02-28 17:38:07
2023-Apr-22 04:27:05,1,22,2022-07-20 19:01:53.363636,2022-08-05 17:21:21,2023-02-28 17:38:07,2023-02-28 17:38:07
2023-Apr-23 04:27:09,1,22,2022-07-20 19:01:53.363636,2022-08-05 17:21:21,2023-02-28 17:38:07,2023-02-28 17:38:07
2023-Apr-24 04:27:53,1,22,2022-07-20 19:01:53.363636,2022-08-05 17:21:21,2023-02-28 17:38:07,2023-02-28 17:38:07
2023-Apr-25 04:27:25,1,22,2022-07-20 19:01:53.363636,2022-08-05 17:21:21,2023-02-28 17:38:07,2023-02-28 17:38:07
2023-Apr-26 04:27:10,1,22,2022-07-20 19:01:53.363636,2022-08-05 17:21:21,2023-02-28 17:38:07,2023-02-28 17:38:07
2023-Apr-27 04:27:09,1,22,2022-07-20 19:01:53.363636,2022-08-05 17:21:21,2023-02-28 17:38:07,2023-02-28 17:38:07
2023-Apr-28 04:26:58,1,22,2022-07-20 19:01:53.363636,2022-08-05 17:21:21,2023-02-28 17:38:07,2023-02-28 17:38:07
2023-Apr-29 04:26:25,1,22,2022-07-20 19:01:53.363636,2022-08-05 17:21:21,2023-02-28 17:38:07,2023-02-28 17:38:07
2023-Apr-30 04:26:01,1,22,2022-07-20 19:01:53.363636,2022-08-05 17:21:21,2023-02-28 17:38:07,2023-02-28 17:38:07
2023-May-01 04:27:23,1,22,2022-07-20 19:01:53.363636,2022-08-05 17:21:21,2023-02-28 17:38:07,2023-02-28 17:38:07
2023-May-02 04:26:43,1,22,2022-07-20 19:01:53.363636,2022-08-05 17:21:21,2023-02-28 17:38:07,2023-02-28 17:38:07
2023-May-03 04:26:23,1,22,2022-07-20 19:01:53.363636,2022-08-05 17:21:21,2023-02-28 17:38:07,2023-02-28 17:38:07
2023-May-04 04:26:51,1,22,2022-07-20 19:01:53.363636,2022-08-05 17:21:21,2023-02-28 17:38:07,2023-02-28 17:38:07
2023-May-05 04:26:16,1,22,2022-07-20 19:01:53.363636,2022-08-05 17:21:21,2023-02-28 17:38:07,2023-02-28 17:38:07
2023-May-06 04:25:32,1,22,2022-07-20 19:01:53.363636,2022-08-05 17:21:21,2023-02-28 17:38:07,2023-02-28 17:38:07
2023-May-07 04:25:57,1,22,2022-07-20 19:01:53.363636,2022-08-05 17:21:21,2023-02-28 17:38:07,2023-02-28 17:38:07
2023-May-08 04:26:56,1,22,2022-07-20 19:01:53.363636,2022-08-05 17:21:21,2023-02-28 17:38:07,2023-02-28 17:38:07
2023-May-09 04:26:20,1,22,2022-07-20 19:01:53.363636,2022-08-05 17:21:21,2023-02-28 17:38:07,2023-02-28 17:38:07
2023-May-10 04:26:31,1,22,2022-07-20 19:01:53.363636,2022-08-05 17:21:21,2023-02-28 17:38:07,2023-02-28 17:38:07
2023-May-11 04:26:09,1,22,2022-07-20 19:01:53.363636,2022-08-05 17:21:21,2023-02-28 17:38:07,2023-02-28 17:38:07
2023-May-12 04:25:57,1,22,2022-07-20 19:01:53.363636,2022-08-05 17:21:21,2023-02-28 17:38:07,2023-02-28 17:38:07
2023-May-13 04:25:53,1,22,2022-07-20 19:01:53.363636,2022-08-05 17:21:21,2023-02-28 17:38:07,2023-02-28 17:38:07
2023-May-14 04:25:40,1,22,2022-07-20 19:01:53.363636,2022-08-05 17:21:21,2023-02-28 17:38:07,2023-02-28 17:38:07
2023-May-15 04:26:10,1,22,2022-07-20 19:01:53.363636,2022-08-05 17:21:21,2023-02-28 17:38:07,2023-02-28 17:38:07
