Date,Open PRs,Open Issues, Open Issues Mean Created Date, Open Issues Median Created Date, Open PRs Mean Date, Open PRs Median Date
2023-Apr-04 23:38:51,1,0,,,,
2023-Apr-05 02:00:45,1,0,,,,
2023-Apr-06 02:11:54,1,0,,,,
2023-Apr-07 02:09:47,1,0,,,,
2023-Apr-08 02:06:34,1,0,,,,
2023-Apr-09 02:41:19,1,0,,,2022-10-04 05:09:23,2022-10-04 05:09:23
2023-Apr-10 02:40:34,1,0,,,2022-10-04 05:09:23,2022-10-04 05:09:23
2023-Apr-11 02:41:40,1,0,,,2022-10-04 05:09:23,2022-10-04 05:09:23
2023-Apr-12 02:41:50,1,0,,,2022-10-04 05:09:23,2022-10-04 05:09:23
2023-Apr-13 13:07:10,1,0,,,2022-10-04 05:09:23,2022-10-04 05:09:23
2023-Apr-14 06:34:47,1,0,,,2022-10-04 05:09:23,2022-10-04 05:09:23
2023-Apr-15 06:33:22,1,0,,,2022-10-04 05:09:23,2022-10-04 05:09:23
2023-Apr-16 06:33:50,1,0,,,2022-10-04 05:09:23,2022-10-04 05:09:23
2023-Apr-17 06:35:53,1,0,,,2022-10-04 05:09:23,2022-10-04 05:09:23
2023-Apr-18 06:35:00,1,0,,,2022-10-04 05:09:23,2022-10-04 05:09:23
2023-Apr-19 06:35:24,1,0,,,2022-10-04 05:09:23,2022-10-04 05:09:23
2023-Apr-20 06:35:18,1,0,,,2022-10-04 05:09:23,2022-10-04 05:09:23
2023-Apr-21 06:35:19,1,0,,,2022-10-04 05:09:23,2022-10-04 05:09:23
2023-Apr-22 06:33:43,1,0,,,2022-10-04 05:09:23,2022-10-04 05:09:23
2023-Apr-23 06:33:58,1,0,,,2022-10-04 05:09:23,2022-10-04 05:09:23
2023-Apr-24 06:35:45,1,0,,,2022-10-04 05:09:23,2022-10-04 05:09:23
2023-Apr-25 06:35:16,1,0,,,2022-10-04 05:09:23,2022-10-04 05:09:23
2023-Apr-26 06:35:09,1,0,,,2022-10-04 05:09:23,2022-10-04 05:09:23
2023-Apr-27 06:35:44,1,0,,,2022-10-04 05:09:23,2022-10-04 05:09:23
2023-Apr-28 06:34:49,1,0,,,2022-10-04 05:09:23,2022-10-04 05:09:23
2023-Apr-29 06:33:03,1,0,,,2022-10-04 05:09:23,2022-10-04 05:09:23
2023-Apr-30 06:32:49,1,0,,,2022-10-04 05:09:23,2022-10-04 05:09:23
2023-May-01 06:34:52,1,0,,,2022-10-04 05:09:23,2022-10-04 05:09:23
2023-May-02 06:34:36,1,0,,,2022-10-04 05:09:23,2022-10-04 05:09:23
2023-May-03 06:33:32,1,0,,,2022-10-04 05:09:23,2022-10-04 05:09:23
2023-May-04 06:34:18,1,0,,,2022-10-04 05:09:23,2022-10-04 05:09:23
2023-May-05 06:34:19,1,0,,,2022-10-04 05:09:23,2022-10-04 05:09:23
2023-May-06 06:32:54,1,0,,,2022-10-04 05:09:23,2022-10-04 05:09:23
2023-May-07 06:33:05,1,0,,,2022-10-04 05:09:23,2022-10-04 05:09:23
2023-May-08 06:34:35,1,0,,,2022-10-04 05:09:23,2022-10-04 05:09:23
2023-May-09 06:34:34,1,0,,,2022-10-04 05:09:23,2022-10-04 05:09:23
