date,issues,closed,age,nm_issues,nm_closed,nm_age
2021-Jan-01,58,0,103,30,0,46
2021-Jan-02,58,0,104,30,0,47
2021-Jan-03,58,0,105,30,0,48
2021-Jan-04,58,0,106,30,0,49
2021-Jan-05,58,0,107,30,0,50
2021-Jan-06,58,0,108,30,0,51
2021-Jan-07,58,0,109,30,0,52
2021-Jan-08,58,1,110,30,0,53
2021-Jan-09,57,0,113,30,0,54
2021-Jan-10,57,0,114,30,0,55
2021-Jan-11,57,0,115,30,0,56
2021-Jan-12,57,4,116,30,3,57
2021-Jan-13,55,1,113,27,1,58
2021-Jan-14,56,2,114,26,0,59
2021-Jan-15,57,0,115,27,0,60
2021-Jan-16,57,0,116,27,0,61
2021-Jan-17,57,0,117,27,0,62
2021-Jan-18,57,1,118,27,0,63
2021-Jan-19,57,1,119,27,1,64
2021-Jan-20,58,1,116,26,0,65
2021-Jan-21,57,1,121,26,0,66
2021-Jan-22,57,3,122,26,0,67
2021-Jan-23,56,0,119,26,0,68
2021-Jan-24,56,0,120,26,0,69
2021-Jan-25,56,11,121,26,3,70
2021-Jan-26,47,0,130,23,0,71
2021-Jan-27,48,0,129,24,0,72
2021-Jan-28,48,1,130,24,1,73
2021-Jan-29,48,0,131,23,0,74
2021-Jan-30,49,1,130,23,0,75
2021-Jan-31,48,0,133,23,0,76
2021-Feb-01,48,1,134,23,0,77
2021-Feb-02,48,0,135,23,0,78
2021-Feb-03,48,0,136,23,0,79
2021-Feb-04,48,0,137,23,0,80
2021-Feb-05,48,0,138,23,0,81
2021-Feb-06,50,0,133,23,0,82
2021-Feb-07,50,0,134,23,0,83
2021-Feb-08,50,0,135,23,0,84
2021-Feb-09,50,0,136,23,0,85
2021-Feb-10,52,3,130,25,0,86
2021-Feb-11,53,0,111,26,0,87
2021-Feb-12,53,0,112,26,0,88
2021-Feb-13,54,0,101,27,0,89
2021-Feb-14,54,0,102,27,0,90
2021-Feb-15,54,0,103,27,0,91
2021-Feb-16,54,0,104,27,0,92
2021-Feb-17,54,1,105,27,0,93
2021-Feb-18,54,1,106,27,0,94
2021-Feb-19,55,2,95,27,0,95
2021-Feb-20,54,0,96,27,0,96
2021-Feb-21,54,0,97,27,0,97
2021-Feb-22,54,2,98,27,0,98
2021-Feb-23,53,2,99,27,1,99
2021-Feb-24,51,1,124,26,1,100
2021-Feb-25,51,0,125,26,0,101
2021-Feb-26,51,0,126,26,0,102
2021-Feb-27,51,0,127,26,0,103
2021-Feb-28,51,0,128,26,0,104
2021-Mar-01,51,0,129,26,0,105
2021-Mar-02,51,2,130,26,0,106
2021-Mar-03,53,1,107,26,0,107
2021-Mar-04,55,2,108,26,0,108
2021-Mar-05,54,2,109,26,0,109
2021-Mar-06,54,0,110,26,0,110
2021-Mar-07,54,0,111,26,0,111
2021-Mar-08,54,0,112,26,0,112
2021-Mar-09,55,2,113,27,0,113
2021-Mar-10,56,2,114,28,0,114
2021-Mar-11,59,1,115,32,0,115
2021-Mar-12,59,3,116,32,2,116
2021-Mar-13,57,0,117,30,0,117
2021-Mar-14,57,0,118,30,0,118
2021-Mar-15,57,2,119,30,2,119
2021-Mar-16,56,1,120,28,1,120
2021-Mar-17,56,0,121,28,0,121
2021-Mar-18,56,0,122,28,0,122
2021-Mar-19,57,0,123,28,0,123
2021-Mar-20,57,0,124,28,0,124
2021-Mar-21,58,0,125,28,0,125
2021-Mar-22,58,0,126,28,0,126
2021-Mar-23,58,1,127,28,0,127
2021-Mar-24,57,0,128,28,0,128
2021-Mar-25,59,0,129,30,0,129
2021-Mar-26,61,2,130,30,0,130
2021-Mar-27,59,0,131,30,0,131
2021-Mar-28,59,0,132,30,0,132
2021-Mar-29,59,0,133,30,0,133
2021-Mar-30,61,0,134,30,0,134
2021-Mar-31,61,2,135,30,0,135
2021-Apr-01,59,0,136,30,0,136
2021-Apr-02,59,0,137,30,0,137
2021-Apr-03,59,0,138,30,0,138
2021-Apr-04,59,0,139,30,0,139
2021-Apr-05,59,0,140,30,0,140
2021-Apr-06,60,0,141,30,0,141
2021-Apr-07,60,0,142,30,0,142
2021-Apr-08,61,0,143,30,0,143
2021-Apr-09,62,0,144,30,0,144
2021-Apr-10,62,0,145,30,0,145
2021-Apr-11,62,0,146,30,0,146
2021-Apr-12,62,1,147,30,0,147
2021-Apr-13,62,0,148,31,0,148
2021-Apr-14,63,4,149,31,0,149
2021-Apr-15,60,7,150,32,4,150
2021-Apr-16,58,4,151,29,1,151
2021-Apr-17,57,0,152,29,0,152
2021-Apr-18,57,0,153,29,0,153
2021-Apr-19,57,4,154,29,1,154
2021-Apr-20,61,7,155,30,1,155
2021-Apr-21,58,0,156,29,0,156
2021-Apr-22,60,0,157,29,0,157
2021-Apr-23,61,1,158,30,0,158
2021-Apr-24,62,0,159,31,0,159
2021-Apr-25,62,0,160,31,0,160
2021-Apr-26,62,7,161,31,4,161
2021-Apr-27,60,1,162,27,1,162
2021-Apr-28,64,1,157,31,1,163
2021-Apr-29,64,1,158,31,0,164
2021-Apr-30,65,2,154,31,1,165
2021-May-01,66,0,152,31,0,166
2021-May-02,66,0,153,31,0,167
2021-May-03,68,1,151,33,0,168
2021-May-04,67,1,153,33,1,169
2021-May-05,69,1,152,35,0,169
2021-May-06,69,1,153,35,1,170
2021-May-07,70,3,147,36,1,166
2021-May-08,69,0,155,37,0,162
2021-May-09,69,0,156,37,0,163
2021-May-10,69,3,157,37,1,164
2021-May-11,68,1,159,37,0,165
2021-May-12,68,0,160,37,0,166
2021-May-13,68,2,161,37,1,167
2021-May-14,74,0,134,36,0,173
2021-May-15,75,0,122,37,0,169
2021-May-16,75,0,123,37,0,170
2021-May-17,75,2,124,37,0,171
2021-May-18,74,0,138,38,0,169
2021-May-19,74,1,139,38,0,170
2021-May-20,73,1,153,38,1,171
2021-May-21,74,0,141,38,0,172
2021-May-22,74,0,142,38,0,173
2021-May-23,74,0,143,38,0,174
2021-May-24,74,0,144,38,0,175
2021-May-25,74,0,145,38,0,176
2021-May-26,75,0,133,39,0,175
2021-May-27,80,0,108,44,0,53
2021-May-28,80,1,109,44,1,54
2021-May-29,80,0,110,43,0,65
2021-May-30,80,0,111,43,0,66
2021-May-31,80,2,112,43,2,67
2021-Jun-01,80,2,113,42,0,76
2021-Jun-02,78,0,129,42,0,77
2021-Jun-03,80,5,115,42,4,78
2021-Jun-04,76,2,139,39,1,184
2021-Jun-05,77,0,137,39,0,185
2021-Jun-06,77,0,138,39,0,186
2021-Jun-07,77,3,139,39,1,187
2021-Jun-08,76,0,143,38,0,190
2021-Jun-09,76,4,144,38,3,191
2021-Jun-10,78,2,122,39,0,93
2021-Jun-11,78,0,123,41,0,78
2021-Jun-12,79,0,114,41,0,79
2021-Jun-13,80,0,108,42,0,70
2021-Jun-14,80,1,109,42,0,71
2021-Jun-15,83,5,102,42,0,72
2021-Jun-16,82,3,103,43,0,64
2021-Jun-17,82,1,104,43,0,65
2021-Jun-18,86,4,102,45,1,63
2021-Jun-19,84,0,105,44,0,66
2021-Jun-20,84,0,106,44,0,67
2021-Jun-21,84,3,107,44,0,68
2021-Jun-22,84,2,108,44,0,69
2021-Jun-23,83,3,110,44,0,70
2021-Jun-24,82,3,110,45,1,69
2021-Jun-25,83,4,111,44,0,72
2021-Jun-26,82,0,112,44,0,73
2021-Jun-27,82,0,113,44,0,74
2021-Jun-28,82,7,114,44,2,75
2021-Jun-29,79,2,115,42,0,70
2021-Jun-30,82,4,112,43,0,67
2021-Jul-01,82,3,113,44,0,66
2021-Jul-02,81,4,115,44,0,67
2021-Jul-03,81,0,116,45,0,66
2021-Jul-04,81,0,117,45,0,67
2021-Jul-05,81,2,118,45,0,68
2021-Jul-06,84,3,93,47,2,69
2021-Jul-07,81,6,104,45,2,70
2021-Jul-08,79,3,119,44,2,71
2021-Jul-09,79,1,120,44,0,72
2021-Jul-10,80,0,114,45,0,73
2021-Jul-11,80,0,115,45,0,74
2021-Jul-12,80,2,116,45,1,75
2021-Jul-13,79,1,124,44,0,76
2021-Jul-14,80,2,118,44,0,77
2021-Jul-15,81,0,112,44,0,78
2021-Jul-16,82,0,103,44,0,79
